Symbol,Name,IPO Year,Sector,Industry
RQI,Cohen & Steers Quality Income Realty Fund Inc Common Shares,2002.0,Finance,Trusts Except Educational Religious and Charitable
RRBI,Red River Bancshares Inc. Common Stock,2019.0,Finance,Commercial Banks
RRGB,Red Robin Gourmet Burgers Inc. Common Stock,2002.0,Consumer Discretionary,Restaurants
RRR,Red Rock Resorts Inc. Class A Common Stock,2016.0,Consumer Discretionary,Recreational Games/Products/Toys
RRX,Regal Rexnord Corporation Common Stock,1976.0,Consumer Discretionary,Metal Fabrications
RS,Reliance Steel & Aluminum Co. Common Stock (DE),1994.0,Industrials,Steel/Iron Ore
RSF,RiverNorth Specialty Finance Corporation,2019.0,Finance,Investment Managers
RSG,Republic Services Inc. Common Stock,1998.0,Utilities,Environmental Services
RSI,Rush Street Interactive Inc. Class A Common Stock,2020.0,Consumer Discretionary,Services-Misc. Amusement & Recreation
RSLS,ReShape Lifesciences Inc. Common Stock,2016.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
RSVR,Reservoir Media Inc. Common Stock,2021.0,Consumer Discretionary,Movies/Entertainment
RSVRW,Reservoir Media Inc. Warrant,2021.0,Consumer Discretionary,Movies/Entertainment
RTLR,Rattler Midstream LP Common Units,2019.0,Energy,Oilfield Services/Equipment
RUBY,Rubius Therapeutics Inc. Common Stock,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RUN,Sunrun Inc. Common Stock,2015.0,Industrials,Building Products
RUTH,Ruth's Hospitality Group Inc. Common Stock,2005.0,Consumer Discretionary,Restaurants
RVAC,Riverview Acquisition Corp. Class A Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
RVACU,Riverview Acquisition Corp. Unit,2021.0,Industrials,Consumer Electronics/Appliances
RVACW,Riverview Acquisition Corp. Warrant,2021.0,Industrials,Consumer Electronics/Appliances
RVLP,RVL Pharmaceuticals plc Ordinary Shares,2018.0,Health Care,Biotechnology: Pharmaceutical Preparations
RVLV,Revolve Group Inc. Class A Common Stock,2019.0,Consumer Discretionary,Catalog/Specialty Distribution
